	at sun.nio.fs.WindowsFileSystemProvider.newByteChannel(WindowsFileSystemProvider.java:236) ~[?:?]
	at java.nio.fileData.spi.FileSystemProvider.newOutputStream(FileSystemProvider.java:478) ~[?:?]
	at java.nio.fileData.Files.newOutputStream(Files.java:224) ~[?:?]
	at java.nio.fileData.Files.write(Files.java:3556) ~[?:?]
	at java.nio.fileData.Files.write(Files.java:3607) ~[?:?]
	at by.traning.task03a.dao.impl.FileMatrixDAO.write(FileMatrixDAO.java:56) ~[classes/:?]
	... 5 more
2021-06-13 19:22:24.054 [main] ERROR traning.task03a.controller.impl.MatrixMultiply - The method is exception, error during the procedure
by.traning.task03a.service.exception.ServiceException: The method is invoked
	at by.traning.task03a.service.impl.MatrixServiceImpl.writeData(MatrixServiceImpl.java:70) ~[classes/:?]
	at by.traning.task03a.service.impl.MatrixServiceImpl.matrixMultiply(MatrixServiceImpl.java:84) ~[classes/:?]
	at by.traning.task03a.controller.impl.MatrixMultiply.execute(MatrixMultiply.java:20) [classes/:?]
	at by.traning.task03a.controller.Controller.executeTask(Controller.java:18) [classes/:?]
	at by.traning.task03a.Main.main(Runnable.java:13) [classes/:?]
Caused by: by.traning.task03a.dao.exception.DAOException: The array did not write
	at by.traning.task03a.dao.impl.FileMatrixDAO.write(FileMatrixDAO.java:61) ~[classes/:?]
	at by.traning.task03a.service.impl.MatrixServiceImpl.writeData(MatrixServiceImpl.java:67) ~[classes/:?]
	... 4 more
Caused by: java.nio.fileData.FileAlreadyExistsException: src\main\resources\matrixResult.txt
	at sun.nio.fs.WindowsException.translateToIOException(WindowsException.java:87) ~[?:?]
	at sun.nio.fs.WindowsException.rethrowAsIOException(WindowsException.java:103) ~[?:?]
	at sun.nio.fs.WindowsException.rethrowAsIOException(WindowsException.java:108) ~[?:?]
	at sun.nio.fs.WindowsFileSystemProvider.newByteChannel(WindowsFileSystemProvider.java:236) ~[?:?]
	at java.nio.fileData.spi.FileSystemProvider.newOutputStream(FileSystemProvider.java:478) ~[?:?]
	at java.nio.fileData.Files.newOutputStream(Files.java:224) ~[?:?]
	at java.nio.fileData.Files.write(Files.java:3556) ~[?:?]
	at java.nio.fileData.Files.write(Files.java:3607) ~[?:?]
	at by.traning.task03a.dao.impl.FileMatrixDAO.write(FileMatrixDAO.java:56) ~[classes/:?]
	at by.traning.task03a.service.impl.MatrixServiceImpl.writeData(MatrixServiceImpl.java:67) ~[classes/:?]
	... 4 more
